idx,timestamp,open,high,low,close,target
2,,7513.25,7519.4,7490.45,7491.75,1.0
23,,7245.1,7257.9,7188.65,7191.3,1.0
29,,7191.4,7237.1,7098.3,7223.75,1.0
31,,7285.8,7285.8,7256.6,7257.0,1.0
38,,7294.05,7295.5,7276.95,7280.5,1.0
49,,7255.4,7256.55,7198.85,7218.15,1.0
50,,7217.8,7243.15,7198.2,7239.7,1.0
51,,7238.9,7243.45,7219.0,7228.1,1.0
52,,7227.3,7237.15,7207.1,7235.35,1.0
53,,7235.6,7240.95,7224.55,7233.85,1.0
54,,7234.5,7236.15,7222.65,7233.05,1.0
55,,7233.65,7249.75,7226.7,7241.85,1.0
