datetime,open,high,low,close,volume,oi
2022-02-07 09:15:00+05:30,42100.0,42282.55,41838.15,42067.65,0,0
2022-02-07 09:45:00+05:30,42067.4,42126.2,41857.85,41919.5,0,0
2022-02-07 10:15:00+05:30,41917.9,42017.95,41891.6,41942.05,0,0
2022-02-07 10:45:00+05:30,41943.5,42003.5,41786.4,41804.7,0,0
2022-02-07 11:15:00+05:30,41806.15,41831.45,41766.15,41810.55,0,0
2022-02-07 11:45:00+05:30,41809.2,41840.65,41686.85,41733.95,0,0
2022-02-07 12:15:00+05:30,41735.9,41928.65,41713.8,41926.45,0,0
2022-02-07 12:45:00+05:30,41918.9,41955.7,41835.1,41882.4,0,0
2022-02-07 13:15:00+05:30,41883.9,41944.6,41707.7,41733.25,0,0
2022-02-07 13:45:00+05:30,41734.75,41775.9,41508.4,41731.6,0,0
2022-02-07 14:15:00+05:30,41729.65,41819.85,41650.85,41651.95,0,0
2022-02-07 14:45:00+05:30,41675.1,41797.9,41627.35,41723.85,0,0
2022-02-07 15:15:00+05:30,41725.45,41730.1,41635.25,41673.15,0,0
2022-02-08 09:15:00+05:30,41844.65,41956.2,41598.6,41777.85,0,0
2022-02-08 09:45:00+05:30,41777.7,41808.8,41556.8,41572.35,0,0
2022-02-08 10:15:00+05:30,41572.6,41627.35,41300.1,41326.2,0,0
2022-02-08 10:45:00+05:30,41327.8,41390.0,41193.55,41310.35,0,0
2022-02-08 11:15:00+05:30,41313.1,41507.85,41289.45,41487.8,0,0
2022-02-08 11:45:00+05:30,41490.15,41648.7,41469.4,41567.55,0,0
2022-02-08 12:15:00+05:30,41567.15,41734.85,41565.0,41705.4,0,0
2022-02-08 12:45:00+05:30,41704.9,41749.2,41443.1,41452.75,0,0
2022-02-08 13:15:00+05:30,41449.15,41652.85,41408.1,41579.75,0,0
2022-02-08 13:45:00+05:30,41582.45,41646.4,41497.15,41519.1,0,0
2022-02-08 14:15:00+05:30,41518.35,41567.5,41438.45,41555.4,0,0
2022-02-08 14:45:00+05:30,41555.6,41635.7,41494.8,41523.5,0,0
2022-02-08 15:15:00+05:30,41526.95,41541.45,41434.15,41468.8,0,0
2022-02-09 09:15:00+05:30,41736.9,41880.55,41673.1,41695.25,0,0
2022-02-09 09:45:00+05:30,41693.6,41803.3,41683.4,41800.1,0,0
2022-02-09 10:15:00+05:30,41799.6,41826.7,41674.25,41765.9,0,0
2022-02-09 10:45:00+05:30,41764.4,41808.85,41749.05,41797.0,0,0
2022-02-09 11:15:00+05:30,41796.25,41839.9,41774.9,41819.75,0,0
2022-02-09 11:45:00+05:30,41820.1,41880.9,41811.6,41833.8,0,0
2022-02-09 12:15:00+05:30,41835.05,41902.65,41833.4,41887.35,0,0
2022-02-09 12:45:00+05:30,41887.65,41904.35,41808.45,41808.6,0,0
2022-02-09 13:15:00+05:30,41808.65,41898.6,41807.65,41881.6,0,0
2022-02-09 13:45:00+05:30,41882.1,41948.85,41879.6,41944.6,0,0
2022-02-09 14:15:00+05:30,41947.25,41993.7,41934.85,41975.7,0,0
2022-02-09 14:45:00+05:30,41976.05,42037.0,41965.85,42009.7,0,0
2022-02-09 15:15:00+05:30,42008.15,42023.75,41957.15,42023.75,0,0
2022-02-10 09:15:00+05:30,42117.9,42120.55,41821.25,41859.05,0,0
2022-02-10 09:45:00+05:30,41857.95,42006.2,41819.65,41987.85,0,0
