datetime,open,high,low,close
2026-01-28T15:15:00+05:30,25329.75,25358.4,25329.75,25348.05
2026-01-28T14:45:00+05:30,25252.05,25344.5,25251.2,25329.65
2026-01-28T14:15:00+05:30,25208.65,25253.2,25201.1,25251.55
2026-01-28T13:45:00+05:30,25207.35,25242.8,25187.65,25209.05
2026-01-28T13:15:00+05:30,25276.6,25291.3,25207,25208.35
2026-01-28T12:45:00+05:30,25275.6,25281.05,25252.05,25276.25
2026-01-28T12:15:00+05:30,25313.8,25318.05,25258.95,25275.35
2026-01-28T11:45:00+05:30,25292.8,25339.5,25290.65,25313.8
2026-01-28T11:15:00+05:30,25325.35,25351.05,25292.3,25292.5
2026-01-28T10:45:00+05:30,25282.2,25330.6,25267.35,25325.6
2026-01-28T10:15:00+05:30,25248.3,25302.2,25234.05,25281.7
2026-01-28T09:45:00+05:30,25292.95,25316.4,25232.7,25248.1
2026-01-28T09:15:00+05:30,25258.85,25372.1,25225.7,25293
2026-01-27T15:15:00+05:30,25169.25,25246.65,25168.05,25234.1
2026-01-27T14:45:00+05:30,25088.9,25175.35,25088.3,25170.4
2026-01-27T14:15:00+05:30,25034.9,25108.65,25007.85,25087.6
2026-01-27T13:45:00+05:30,25046.15,25065.9,24998.25,25034.55
2026-01-27T13:15:00+05:30,25089.1,25132.25,25018,25045.25
2026-01-27T12:45:00+05:30,25081.2,25100.4,25056.5,25088.95
2026-01-27T12:15:00+05:30,25121.55,25138.2,25070.55,25079.55
2026-01-27T11:45:00+05:30,25154.15,25162.05,25083.6,25120.35
2026-01-27T11:15:00+05:30,25029.05,25157.85,25022.1,25154.65
2026-01-27T10:45:00+05:30,25028.85,25044.75,24979.05,25029.4
2026-01-27T10:15:00+05:30,25129.35,25184.95,25019.7,25030
2026-01-27T09:45:00+05:30,25148.8,25161.85,25083.35,25128.45
2026-01-27T09:15:00+05:30,25063.35,25147.6,24932.55,25147.6
2026-01-23T15:15:00+05:30,25046.5,25074.5,25025.3,25064.75
2026-01-23T14:45:00+05:30,25089.15,25106.15,25028.25,25045.85
2026-01-23T14:15:00+05:30,25064.05,25107.8,25041,25083.65
2026-01-23T13:45:00+05:30,25049.25,25078.05,25043.85,25063.4
2026-01-23T13:15:00+05:30,25196.65,25197.35,25047.75,25049.55
2026-01-23T12:45:00+05:30,25223.3,25243.8,25180.25,25196.4
2026-01-23T12:15:00+05:30,25185.95,25236.6,25185.95,25223.05
2026-01-23T11:45:00+05:30,25211.45,25224.65,25183.65,25185.2
2026-01-23T11:15:00+05:30,25285.3,25289.9,25209.6,25211.6
2026-01-23T10:45:00+05:30,25293.25,25300.4,25261.05,25284.9
2026-01-23T10:15:00+05:30,25280.55,25320.8,25251.55,25293.35
2026-01-23T09:45:00+05:30,25287.6,25312.55,25263.5,25281.7
2026-01-23T09:15:00+05:30,25344.6,25347.95,25249.1,25285.7
2026-01-22T15:15:00+05:30,25288.45,25332.35,25287.6,25320.45
2026-01-22T14:45:00+05:30,25284.1,25318.2,25238.8,25288.55
2026-01-22T14:15:00+05:30,25178.8,25295.9,25168.5,25284.45
2026-01-22T13:45:00+05:30,25204.05,25245,25176.95,25178.35
2026-01-22T13:15:00+05:30,25192.05,25227.55,25169.4,25204.55
2026-01-22T12:45:00+05:30,25244.75,25262.5,25190.45,25191.95
2026-01-22T12:15:00+05:30,25237.15,25277.5,25210.45,25244.95
2026-01-22T11:45:00+05:30,25205.9,25241.5,25177.85,25237.1
2026-01-22T11:15:00+05:30,25215.95,25280.55,25197.8,25206.85
2026-01-22T10:45:00+05:30,25294.85,25298.45,25201.9,25215.75
2026-01-22T10:15:00+05:30,25376.5,25388.55,25245.25,25295.35
2026-01-22T09:45:00+05:30,25395.05,25435.75,25363.3,25376
2026-01-22T09:15:00+05:30,25344.15,25425.7,25302.45,25395.95
2026-01-21T15:15:00+05:30,25155.2,25171.7,25140.55,25168.1
2026-01-21T14:45:00+05:30,25149,25182.5,25135.35,25155
2026-01-21T14:15:00+05:30,25137.45,25202.05,25119.85,25150.1
2026-01-21T13:45:00+05:30,25195.15,25208.9,25132.85,25136.7
