date,open,high,low,close,volume
2022-01-21 09:15:00,7705.65,7705.65,7653.35,7661.7,0
2022-01-21 09:30:00,7660.3,7688.9,7645.8,7686.5,0
2022-01-21 09:45:00,7686.5,7708.7,7681.05,7702.05,0
2022-01-21 10:00:00,7702.1,7706.75,7683.7,7685.1,0
2022-01-21 10:15:00,7684.95,7690.55,7661.5,7667.75,0
2022-01-21 10:30:00,7667.4,7667.7,7626.95,7636.65,0
2022-01-21 10:45:00,7637.75,7637.75,7619.25,7623.35,0
2022-01-21 11:00:00,7623.2,7645.55,7616.75,7641.3,0
2022-01-21 11:15:00,7641.05,7644.6,7631.1,7635.0,0
2022-01-21 11:30:00,7635.4,7635.85,7619.1,7619.75,0
2022-01-21 11:45:00,7619.65,7635.35,7616.65,7634.75,0
2022-01-21 12:00:00,7634.35,7647.55,7633.4,7646.95,0
2022-01-21 12:15:00,7647.0,7654.25,7641.1,7652.85,0
2022-01-21 12:30:00,7653.0,7655.5,7639.7,7649.3,0
2022-01-21 12:45:00,7649.5,7661.5,7649.5,7661.15,0
2022-01-21 13:00:00,7661.6,7676.75,7661.5,7675.4,0
2022-01-21 13:15:00,7675.1,7675.1,7643.95,7643.95,0
2022-01-21 13:30:00,7643.65,7659.0,7637.0,7637.8,0
2022-01-21 13:45:00,7637.35,7640.65,7627.5,7635.75,0
2022-01-21 14:00:00,7635.6,7642.6,7607.25,7607.95,0
2022-01-21 14:15:00,7608.05,7608.45,7556.85,7561.3,0
2022-01-21 14:30:00,7560.7,7568.15,7512.85,7512.85,0
2022-01-21 14:45:00,7513.25,7519.4,7490.45,7491.75,0
2022-01-21 15:00:00,7492.95,7566.2,7492.95,7555.25,0
2022-01-21 15:15:00,7556.05,7567.35,7543.8,7563.6,0
2022-01-24 09:15:00,7548.9,7559.0,7431.65,7431.65,0
2022-01-24 09:30:00,7431.6,7443.65,7392.75,7434.95,0
2022-01-24 09:45:00,7435.25,7456.8,7414.25,7425.75,0
2022-01-24 10:00:00,7425.35,7430.0,7401.1,7404.4,0
2022-01-24 10:15:00,7403.35,7403.35,7362.75,7367.65,0
2022-01-24 10:30:00,7368.4,7375.4,7354.2,7373.35,0
2022-01-24 10:45:00,7373.5,7373.5,7348.2,7366.45,0
2022-01-24 11:00:00,7365.25,7377.85,7346.25,7357.25,0
2022-01-24 11:15:00,7357.2,7365.05,7349.65,7357.7,0
2022-01-24 11:30:00,7357.35,7362.0,7336.55,7336.95,0
2022-01-24 11:45:00,7336.55,7336.75,7311.25,7316.0,0
2022-01-24 12:00:00,7315.35,7320.15,7301.05,7312.8,0
2022-01-24 12:15:00,7313.2,7316.8,7284.3,7295.1,0
2022-01-24 12:30:00,7295.4,7310.85,7277.0,7277.0,0
2022-01-24 12:45:00,7277.35,7291.05,7269.5,7271.2,0
2022-01-24 13:00:00,7270.4,7313.2,7270.4,7309.3,0
2022-01-24 13:15:00,7309.1,7310.55,7268.1,7269.6,0
2022-01-24 13:30:00,7269.6,7270.85,7249.8,7268.3,0
2022-01-24 13:45:00,7268.6,7276.2,7241.5,7245.2,0
2022-01-24 14:00:00,7245.1,7257.9,7188.65,7191.3,0
2022-01-24 14:15:00,7191.6,7267.3,7191.6,7228.2,0
2022-01-24 14:30:00,7228.2,7252.25,7213.55,7225.45,0
2022-01-24 14:45:00,7226.45,7239.95,7202.85,7238.55,0
2022-01-24 15:00:00,7236.15,7282.1,7236.15,7278.8,0
2022-01-24 15:15:00,7279.2,7279.9,7243.9,7251.75,0
2022-01-25 09:15:00,7191.4,7237.1,7098.3,7223.75,0
2022-01-25 09:30:00,7223.6,7306.1,7223.0,7292.45,0
2022-01-25 09:45:00,7293.0,7332.4,7287.55,7327.05,0
2022-01-25 10:00:00,7327.7,7340.8,7276.65,7293.35,0
2022-01-25 10:15:00,7293.7,7304.05,7268.95,7285.55,0
2022-01-25 10:30:00,7285.2,7308.0,7283.2,7285.55,0
2022-01-25 10:45:00,7285.8,7285.8,7256.6,7257.0,0
2022-01-25 11:00:00,7257.05,7308.0,7254.75,7303.65,0
2022-01-25 11:15:00,7303.8,7318.5,7299.15,7308.6,0
2022-01-25 11:30:00,7308.15,7316.75,7301.85,7306.35,0
2022-01-25 11:45:00,7306.35,7320.55,7299.95,7303.1,0
2022-01-25 12:00:00,7302.4,7316.25,7296.65,7306.9,0
2022-01-25 12:15:00,7307.2,7313.75,7299.9,7303.7,0
2022-01-25 12:30:00,7304.0,7313.1,7291.3,7294.1,0
2022-01-25 12:45:00,7294.05,7295.5,7276.95,7280.5,0
2022-01-25 13:00:00,7280.15,7309.7,7277.55,7308.1,0
2022-01-25 13:15:00,7308.4,7331.25,7306.85,7317.05,0
2022-01-25 13:30:00,7316.9,7318.65,7301.5,7317.25,0
2022-01-25 13:45:00,7316.85,7347.75,7310.45,7338.85,0
2022-01-25 14:00:00,7338.75,7348.7,7328.4,7340.6,0
2022-01-25 14:15:00,7340.2,7347.3,7325.9,7329.75,0
2022-01-25 14:30:00,7329.65,7352.2,7329.65,7347.65,0
2022-01-25 14:45:00,7347.55,7364.85,7344.35,7344.85,0
2022-01-25 15:00:00,7345.75,7365.25,7345.75,7364.2,0
2022-01-25 15:15:00,7365.15,7374.6,7346.7,7348.55,0
2022-01-27 09:15:00,7307.3,7313.3,7255.2,7255.2,0
2022-01-27 09:30:00,7255.4,7256.55,7198.85,7218.15,0
2022-01-27 09:45:00,7217.8,7243.15,7198.2,7239.7,0
2022-01-27 10:00:00,7238.9,7243.45,7219.0,7228.1,0
2022-01-27 10:15:00,7227.3,7237.15,7207.1,7235.35,0
2022-01-27 10:30:00,7235.6,7240.95,7224.55,7233.85,0
2022-01-27 10:45:00,7234.5,7236.15,7222.65,7233.05,0
2022-01-27 11:00:00,7233.65,7249.75,7226.7,7241.85,0
2022-01-27 11:15:00,7241.75,7246.2,7234.25,7239.4,0
2022-01-27 11:30:00,7240.65,7242.8,7221.15,7237.9,0
2022-01-27 11:45:00,7238.2,7238.95,7219.65,7227.7,0
