datetime,open,high,low,close,volume,oi
2022-02-07 09:15:00+05:30,58549.67,58707.4,58320.15,58429.86,0,0
2022-02-07 09:45:00+05:30,58430.71,58498.44,58256.77,58333.29,0,0
2022-02-07 10:15:00+05:30,58334.64,58386.79,58236.53,58320.04,0,0
2022-02-07 10:45:00+05:30,58318.96,58339.81,58034.9,58058.83,0,0
2022-02-07 11:15:00+05:30,58057.53,58058.89,57953.89,57989.62,0,0
2022-02-07 11:45:00+05:30,57989.16,58029.75,57819.88,57830.5,0,0
2022-02-07 12:15:00+05:30,57830.43,58002.62,57806.57,57994.31,0,0
2022-02-07 12:45:00+05:30,57994.31,58015.69,57754.26,57778.58,0,0
2022-02-07 13:15:00+05:30,57776.92,57834.62,57616.17,57628.63,0,0
2022-02-07 13:45:00+05:30,57624.79,57625.8,57299.05,57486.21,0,0
2022-02-07 14:15:00+05:30,57486.19,57610.94,57418.12,57420.21,0,0
2022-02-07 14:45:00+05:30,57421.38,57702.93,57419.93,57641.76,0,0
2022-02-07 15:15:00+05:30,57642.0,57647.45,57530.72,57614.38,0,0
2022-02-08 09:15:00+05:30,57799.67,57922.88,57482.53,57709.32,0,0
2022-02-08 09:45:00+05:30,57708.85,57750.26,57548.3,57560.51,0,0
2022-02-08 10:15:00+05:30,57562.15,57570.13,57209.83,57223.21,0,0
2022-02-08 10:45:00+05:30,57220.85,57333.13,57059.46,57199.25,0,0
2022-02-08 11:15:00+05:30,57202.02,57470.4,57162.67,57443.22,0,0
2022-02-08 11:45:00+05:30,57444.61,57641.42,57405.91,57528.22,0,0
2022-02-08 12:15:00+05:30,57524.03,57819.26,57520.57,57787.63,0,0
2022-02-08 12:45:00+05:30,57791.12,57825.49,57342.16,57370.61,0,0
2022-02-08 13:15:00+05:30,57369.17,57634.11,57323.52,57512.65,0,0
2022-02-08 13:45:00+05:30,57517.25,57618.16,57441.02,57442.49,0,0
2022-02-08 14:15:00+05:30,57443.1,57556.86,57361.39,57556.86,0,0
2022-02-08 14:45:00+05:30,57558.09,57919.36,57502.63,57866.87,0,0
2022-02-08 15:15:00+05:30,57865.31,57879.28,57687.52,57731.47,0,0
2022-02-09 09:15:00+05:30,58163.01,58333.27,58105.25,58229.43,0,0
2022-02-09 09:45:00+05:30,58229.54,58378.72,58203.87,58305.44,0,0
2022-02-09 10:15:00+05:30,58306.69,58320.85,58137.67,58224.9,0,0
2022-02-09 10:45:00+05:30,58224.71,58300.51,58181.47,58212.82,0,0
2022-02-09 11:15:00+05:30,58212.82,58264.19,58189.9,58203.01,0,0
2022-02-09 11:45:00+05:30,58203.12,58322.67,58201.94,58281.23,0,0
2022-02-09 12:15:00+05:30,58279.86,58347.25,58274.02,58309.24,0,0
2022-02-09 12:45:00+05:30,58309.24,58352.03,58183.24,58193.44,0,0
2022-02-09 13:15:00+05:30,58194.91,58315.2,58178.59,58292.64,0,0
2022-02-09 13:45:00+05:30,58292.64,58404.81,58282.41,58387.4,0,0
2022-02-09 14:15:00+05:30,58387.9,58458.14,58380.2,58453.36,0,0
2022-02-09 14:45:00+05:30,58451.13,58505.58,58398.61,58464.34,0,0
2022-02-09 15:15:00+05:30,58464.07,58501.48,58453.44,58495.1,0,0
2022-02-10 09:15:00+05:30,58810.53,58810.53,58429.13,58438.0,0,0
2022-02-10 09:45:00+05:30,58434.26,58637.17,58332.28,58615.33,0,0
2022-02-10 10:15:00+05:30,58614.74,58892.55,58524.88,58882.13,0,0
2022-02-10 10:45:00+05:30,58884.67,58914.43,58795.33,58875.34,0,0
2022-02-10 11:15:00+05:30,58876.24,58967.05,58785.06,58958.46,0,0
2022-02-10 11:45:00+05:30,58955.83,59008.64,58893.78,58907.76,0,0
2022-02-10 12:15:00+05:30,58910.76,58938.56,58823.6,58923.38,0,0
2022-02-10 12:45:00+05:30,58923.38,58989.57,58891.16,58934.45,0,0
2022-02-10 13:15:00+05:30,58934.41,59026.93,58869.02,59001.1,0,0
2022-02-10 13:45:00+05:30,59000.37,59053.27,58947.17,59017.05,0,0
