datetime,open,high,low,close,volume,oi
2022-02-07 09:15:00+05:30,38592.05,38834.7,38532.8,38635.15,0,0
2022-02-07 09:45:00+05:30,38636.7,38773.25,38577.55,38616.3,0,0
2022-02-07 10:15:00+05:30,38619.35,38688.75,38546.5,38613.15,0,0
2022-02-07 10:45:00+05:30,38612.2,38647.85,38439.35,38465.4,0,0
2022-02-07 11:15:00+05:30,38462.55,38464.95,38366.7,38386.55,0,0
2022-02-07 11:45:00+05:30,38387.2,38430.1,38260.4,38286.9,0,0
2022-02-07 12:15:00+05:30,38285.65,38376.85,38211.45,38318.05,0,0
2022-02-07 12:45:00+05:30,38317.85,38344.8,38181.55,38190.7,0,0
2022-02-07 13:15:00+05:30,38187.2,38242.95,38091.5,38128.35,0,0
2022-02-07 13:45:00+05:30,38131.2,38133.1,37887.75,38014.0,0,0
2022-02-07 14:15:00+05:30,38016.45,38081.15,37826.05,37829.35,0,0
2022-02-07 14:45:00+05:30,37829.75,38040.0,37806.0,38005.75,0,0
2022-02-07 15:15:00+05:30,38006.3,38048.6,37943.6,37990.2,0,0
2022-02-08 09:15:00+05:30,38176.1,38213.45,37805.3,37938.65,0,0
2022-02-08 09:45:00+05:30,37936.1,37964.25,37750.35,37772.05,0,0
2022-02-08 10:15:00+05:30,37766.6,37797.6,37455.9,37483.0,0,0
2022-02-08 10:45:00+05:30,37481.25,37587.95,37320.45,37442.1,0,0
2022-02-08 11:15:00+05:30,37444.8,37656.3,37416.2,37628.45,0,0
2022-02-08 11:45:00+05:30,37632.0,37801.5,37574.1,37705.4,0,0
2022-02-08 12:15:00+05:30,37705.55,38025.65,37702.25,37984.6,0,0
2022-02-08 12:45:00+05:30,37990.9,38059.75,37611.8,37615.2,0,0
2022-02-08 13:15:00+05:30,37617.0,37875.85,37595.4,37819.05,0,0
2022-02-08 13:45:00+05:30,37828.9,37913.9,37655.05,37670.95,0,0
2022-02-08 14:15:00+05:30,37674.3,37798.1,37618.9,37787.3,0,0
2022-02-08 14:45:00+05:30,37789.85,38148.4,37746.75,38081.5,0,0
2022-02-08 15:15:00+05:30,38082.6,38103.6,37911.6,37942.65,0,0
2022-02-09 09:15:00+05:30,38283.6,38477.0,38220.8,38414.9,0,0
2022-02-09 09:45:00+05:30,38412.95,38527.75,38382.35,38461.45,0,0
2022-02-09 10:15:00+05:30,38461.05,38476.55,38283.35,38405.95,0,0
2022-02-09 10:45:00+05:30,38409.65,38484.55,38330.9,38383.75,0,0
2022-02-09 11:15:00+05:30,38383.65,38433.3,38359.25,38373.55,0,0
2022-02-09 11:45:00+05:30,38382.4,38488.8,38372.55,38457.2,0,0
2022-02-09 12:15:00+05:30,38456.05,38520.05,38451.0,38485.6,0,0
2022-02-09 12:45:00+05:30,38486.6,38543.0,38360.05,38384.6,0,0
2022-02-09 13:15:00+05:30,38378.0,38490.9,38378.0,38460.25,0,0
2022-02-09 13:45:00+05:30,38451.05,38572.6,38445.3,38563.85,0,0
2022-02-09 14:15:00+05:30,38553.2,38608.6,38509.85,38568.75,0,0
2022-02-09 14:45:00+05:30,38557.95,38637.3,38533.05,38620.25,0,0
2022-02-09 15:15:00+05:30,38613.95,38642.8,38590.55,38602.4,0,0
2022-02-10 09:15:00+05:30,38801.45,38801.45,38568.75,38654.7,0,0
2022-02-10 09:45:00+05:30,38654.6,38832.8,38521.15,38786.85,0,0
2022-02-10 10:15:00+05:30,38786.25,39063.5,38661.7,39052.35,0,0
2022-02-10 10:45:00+05:30,39053.8,39121.75,38997.25,39084.0,0,0
2022-02-10 11:15:00+05:30,39083.95,39097.35,38971.25,39082.75,0,0
